,T,K,VI,VI_r,p_hat,q_hat,edge_error_rate,edge_error_rate_r,K_predicted,T_actual,mean_T
16,186556,20,3.1819049441899567,3.706178615665207,0.08855633813019262,0.024891656453138337,0.06138271604938272,0.06806419753086419,23,215797,9.37757838148928
17,186556,20,3.5440597735446606,4.010758192847859,0.08813388690476534,0.023849798328001312,0.0674641975308642,0.07265925925925926,23,221957,9.394065753269226
18,186556,20,3.668245949137843,3.751076645162834,0.08323345268980896,0.024337266868365192,0.07144197530864198,0.07142716049382716,22,202511,9.529346611012542
19,186556,20,3.275685240243356,3.4420838672939515,0.08510550108527797,0.023542880409462244,0.06330617283950617,0.06524938271604938,23,204156,9.848592793498295
20,277367,30,3.496371929603099,3.675724753840442,0.08485611379250492,0.02294259494456252,0.051382716049382715,0.053128395061728395,24,304521,12.560156733347082
21,277367,30,4.080293831432516,4.125731273404559,0.09131611519422614,0.024669708521483306,0.06096049382716049,0.06095061728395062,24,291489,12.52095544211256
22,277367,30,3.8383693459657713,3.906655456585037,0.08911312643732144,0.02450915338458003,0.05825679012345679,0.059,23,283173,12.873879810226674
23,277367,30,3.703702625451627,3.9498172677443457,0.09469796662577347,0.02442871656536721,0.0543679012345679,0.056869135802469134,25,304521,13.434541306790452
24,277367,30,3.465487464424778,3.6254201975505023,0.08983961846414841,0.02269540679515488,0.05118518518518519,0.05330864197530864,24,298905,13.405023462717335
25,277367,30,3.0950528482455644,3.217571057350193,0.09163163213032159,0.023444997185976552,0.04581975308641975,0.04700740740740741,24,296529,13.932496456455516
26,277367,30,3.599453910644983,3.6852318029393,0.09540680758705973,0.023629963875305023,0.05366666666666667,0.05431358024691358,24,289383,13.938820754716982
27,277367,30,4.003308093563043,4.14817928866812,0.09563208930509294,0.024457457601846276,0.05831851851851852,0.05991851851851852,24,295179,13.904526603723639
28,277367,30,3.8152264654912966,3.8612670788484342,0.08442483122419812,0.021951131564571562,0.05862962962962963,0.059180246913580245,23,283371,13.947662103632512
29,277367,30,3.1811684418663546,3.283952689730516,0.09382187105564435,0.022916318824691743,0.046814814814814816,0.0478641975308642,24,298257,14.114088556641748
30,813210,90,4.314515235703468,4.35993492115438,0.09845980742981518,0.022441833077462253,0.04108641975308642,0.04149382716049383,27,984846,40.528641975308645
31,813210,90,4.375708656858743,4.421387883938744,0.09675449654816226,0.022952895667434352,0.042545679012345676,0.04305679012345679,26,1005666,42.53230769230769
32,813210,90,4.540263267179643,4.58089534447058,0.09704816035557683,0.02321350573652562,0.043716049382716046,0.04384444444444444,26,1006914,42.15789029535865
33,813210,90,4.270941314390015,4.317956075605311,0.10050171542406021,0.022083637209803882,0.04094074074074074,0.04131111111111111,27,992298,42.62525641025641
34,813210,90,4.357105405796236,4.41402077067296,0.0957344012171433,0.022772965865432756,0.042627160493827164,0.042928395061728394,26,1003794,43.01049095607235
35,813210,90,4.2760226428037615,4.344031368174673,0.09661539263938695,0.02332940358051953,0.0424,0.043414814814814816,26,1001922,43.82631578947368
36,813210,90,4.48503935694135,4.583438255113715,0.0965844806596591,0.02280882376191706,0.043646913580246915,0.04435802469135802,26,1013154,45.01344894026975
37,813210,90,4.235318606183156,4.274298522035527,0.09910724167189287,0.022968591706371617,0.04133086419753086,0.04124197530864197,27,978015,45.2755612244898
38,813210,90,4.513901622734289,4.543108117386687,0.09530163350095344,0.023182130077101855,0.043503703703703704,0.043967901234567904,26,994434,45.565920852359206
39,813210,90,4.2258703178079005,4.287979486678998,0.10061792157007417,0.022974338164141538,0.04040987654320988,0.04078271604938272,27,984225,46.32853556485356
